Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,Cases_28_Days,Deaths_28_Days
Alabama,US,2021-08-13 04:31:21,32.3182,-86.9023,623919,11724,,,1.0,12724.769716011124,2756534.0,,1.8790900741923235,84000001.0,USA,56219.25340365497,,2021-08-12,,
Alaska,US,2021-08-13 04:31:21,61.3707,-152.4044,79485,403,,,2.0,10865.360299093016,2568934.0,,0.5070139019940869,84000002.0,USA,351165.5468904852,,2021-08-12,,
American Samoa,US,2021-08-13 04:31:21,-14.271,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,,2021-08-12,,
Arizona,US,2021-08-13 04:31:21,33.7298,-111.4312,955767,18412,,,4.0,13130.981737578202,11020022.0,,1.926410934882665,84000004.0,USA,151400.61084941207,,2021-08-12,,
Arkansas,US,2021-08-13 04:31:21,34.9697,-92.3731,413150,6396,,,5.0,13690.418595773615,3422507.0,,1.5481060147646133,84000005.0,USA,113410.51307507047,,2021-08-12,,
California,US,2021-08-13 04:31:21,36.1162,-119.6816,4097958,64529,,,6.0,10371.36786760897,76044392.0,,1.5746623074223796,84000006.0,USA,192457.89334606664,,2021-08-12,,
Colorado,US,2021-08-13 04:31:21,39.0598,-105.3111,588230,7023,,,8.0,10214.567919071127,9673654.0,,1.1939207452867076,84000008.0,USA,167982.2447148124,,2021-08-12,,
Connecticut,US,2021-08-13 04:31:21,41.5978,-72.7554,361294,8307,,,9.0,10133.658244062819,9233081.0,,2.2992355256384,84000009.0,USA,258971.6059324257,,2021-08-12,,
Delaware,US,2021-08-13 04:31:21,39.3185,-75.5071,113582,1837,,,10.0,11664.2225426284,1982063.0,,1.6173337324576078,84000010.0,USA,203546.5472126717,,2021-08-12,,
Diamond Princess,US,2021-08-13 04:31:21,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,,2021-08-12,,
District of Columbia,US,2021-08-13 04:31:21,38.8974,-77.0268,52005,1150,,,11.0,7368.767082914747,1765045.0,,2.211325834054418,84000011.0,USA,250095.28883498238,,2021-08-12,,
Florida,US,2021-08-13 04:31:21,27.7663,-81.6868,2768985,39695,,,12.0,12892.349878388024,24335454.0,,1.4335577838088691,84000012.0,USA,113305.48465138575,,2021-08-12,,
