Date,TestsTotaltests,TestsTotalsamplestestedpriorto1July2020,TestsTotalsamplestestedsince1July2020,TestsReasonfortestseekinghealthcaresymptomatic,TestsReasonforTestInboundTravel,TestsReasonforTestOnIslandSurveillanceScreening,TestsPendingResults,TestsNegativeTestsPriorto1July2020,TestsNegativeTestssince1July2020,TestsAverageTurnaroundTimeAllSwabsLast7days,TestsTotalNegativeTests,CasesTotalConfirmedPositiveCases,CasesFemalePositiveNumber,CasesMalePositiveNumber,CasesFemalePositivePercentage,CasesMalePositivePercentage,CasesAverageAgeTestedPositive,CasesSeven7DayNumberper100000,CasesFortnight14dayNumberper100000,CasesPositiveCasesIdentifiedPriorto1July2020,CasesPositiveCasesIdentifiedSince1July2020,CasesPositiveCasesIdentifiedSymptomaticIndividualsSeekingHealthcare,CasesPositiveCasesIdentifiedInboundTravelArrivalsScreening,CasesPositiveCasesIdentifiedAdmissionsScreening,CasesPositiveCasesIdentifiedWorkforceScreening,CasesPositiveCasesIdentifiedCohortScreening,CasesPositiveCasesIdentifiedContactTracing,CasesOldCasesConfirmedBySerology,CasesManagedInOtherJurisdictions,CasesCurrentKnownActiveCases,CasesSymptomatic,CasesAsymptomatic,CasesNumberOfKnownDirectContactsOfCurrentActiveCases,CasesDailyNewConfirmedCases,CasesKnownCasesInCareHomes,CasesKnownCasesInCommunity,CasesKnownCasesInHospital,RecoveriesTotalRecovered,RecoveriesFemaleRecoveredNumber,RecoveriesMaleRecoveredNumber,RecoveriesFemaleRecoveredPercentage,RecoveriesMaleRecoveredPercentage,RecoveriesAverageAgeRecovered,MortalityTotalDeaths,MortalityLaboratoryProvenDeaths,MortalityProbableCovid-19,MortalityDeathsGeneralHospital,MortalityDeathsStSaviours,MortalityDeathsCareHomes,MortalityDeathsDomesticProperties,MortalityDeathsAge50to59,Mortalitypercentageregistereddeathsaged50-59,MortalityDeathsAge60to69,Mortalitypercentageregistereddeathsaged60-69,MortalityDeathsAge70to79,Mortalitypercentageregistereddeathsaged70-79,MortalityDeathsAge80to89,Mortalitypercentageregistereddeathsaged80-89,MortalityDeathsAge90andover,Mortalitypercentageregistereddeathsaged90andover,MortalityDeathsFemale,MortalityDeathsMale,InboundTravelPercentageArrivalsScreeningIdentifiedatDay0,InboundTravelPercentageArrivalsScreeningIdentifiedatDay5,InboundTravelPercentageArrivalsScreeningIdentifiedatDay8or10,InboundTravelPercentageArrivingfromRed,InboundTravelPercentageArrivingfromAmber,InboundTravelPercentageArrivingfromGreen,InboundTravelPercentageArrivingbyAir,InboundTravelPercentageArrivingBySea,InboundTravelPercentageTravellersDeclaredasResident,InboundTravelReasonforTravelBusinessVisitortoJersey,InboundTravelReasonforTravelCriticalWorker,InboundTravelReasonforTravelHolidayLeisureVisitortoJersey,InboundTravelReasonforTravelJerseyResidentReturningHome,InboundTravelReasonforTravelNotRecorded,InboundTravelReasonforTravelSeasonalWorker,InboundTravelReasonforTravelUniversityStudentReturningHome,InboundTravelReasonforTravelVisitingFriendsRelativesinJersey,InboundTravelReasonforTravelCrewonInboundCraft,InboundTravelArrivalsfromAmber,InboundTravelArrivalsfromGreen,InboundTravelArrivalsfromRed,InboundTravelPositiveArrivalsByAir,InboundTravelPositiveArrivalsBySea,InboundTravelNumberArrivalsScreeningIdentifiedatDay0,InboundTravelNumberArrivalsScreeningIdentifiedatDay8or10,InboundTravelNumberArrivalsScreeningIdentifiedatDay5,InboundTravelReasonforTravelBoardingSchoolStudentReturningHome,InboundTravelReasonforTravelPercentageBoardingSchoolStudentReturningHome,InboundTravelReasonforTravelPercentageBusinessVisitortoJersey,InboundTravelReasonforTravelPercentageCriticalWorker,InboundTravelReasonforTravelPercentageHolidayLeisureVisitortoJersey,InboundTravelReasonforTravelPercentageJerseyResidentReturningHome,InboundTravelReasonforTravelPercentageNotRecorded,InboundTravelReasonforTravelPercentageSeasonalWorker,InboundTravelReasonforTravelPercentageUniversityStudentReturningHome,InboundTravelReasonforTravelPercentageVisitingFriendsRelativesinJersey,InboundTravelReasonforTravelPercentageCrewonInboundCraft,DateTime
2021-07-22,555980,15802,540178,18016,261571,260591,296,15482,532872,8.08,float;#548354.000000000,7329,3639,3690,0.497,0.503,36,1671.61,2883.12,320,7022,2584,754,98,881,181,2512,13,10,3088,2288,800,12992,1,12,3066,10,4178,2185,1993,0.523,0.477,38.6,69,52,17,38,3,26,2,4,0.058,3,0.043,17,0.246,31,0.449,14,0.203,0.377,0.623,0.777,0.099,0.123,0.37,0.111,0.519,0.863,0.137,0.373,5193,4052,34960,30471,1669,1411,1811,18519,488,84,391,279,651,103,586,93,75,768,0.008,0.052,0.041,0.352,0.307,0.017,0.014,0.018,0.186,0.005,"5:10 PM, Thursday 22 July 2021"
2021-07-21,552075,15802,536273,17676,260574,258023,238,15482,529277,7.97,float;#544759.000000000,7077,3521,3556,0.498,0.502,36,1695.73,2774.58,320,6770,2445,743,93,864,178,2435,13,10,3061,2329,732,13845,225,13,3035,13,3953,2093,1860,0.529,0.471,39.2,69,52,17,38,3,26,2,4,0.058,3,0.043,17,0.246,31,0.449,14,0.203,0.377,0.623,0.776,0.101,0.123,0.375,0.113,0.512,0.864,0.136,0.373,5141,4035,34581,30225,1656,1400,1800,18272,483,84,381,278,642,101,577,91,75,765,0.008,0.052,0.041,0.352,0.307,0.017,0.014,0.018,0.186,0.005,"4:30 PM, Wednesday 21 July 2021"
2021-07-20,549105,15802,533303,17376,259654,256273,685,15482,526075,8.05,float;#541557.000000000,6862,3418,3444,0.498,0.502,36,1686.46,2678.11,320,6555,2330,730,93,846,175,2369,13,10,3002,2320,682,14591,233,11,2979,12,3798,2032,1766,0.535,0.465,39.6,69,52,17,38,3,26,2,4,0.058,3,0.043,17,0.246,31,0.449,14,0.203,0.377,0.623,0.775,0.103,0.122,0.379,0.114,0.507,0.863,0.137,0.374,5073,4010,34085,29890,1642,1395,1794,18083,478,83,370,277,630,100,566,89,75,765,0.008,0.052,0.041,0.351,0.308,0.017,0.014,0.019,0.186,0.005,"7:10 PM, Tuesday 20 July 2021"
2021-07-19,544673,15802,528871,16925,257663,254283,153,15482,522474,7.81,float;#537956.000000000,6563,3262,3301,0.497,0.503,36,1623.38,2470.32,320,6256,2147,704,88,822,175,2308,13,9,2813,2047,766,13332,302,10,2791,12,3689,1980,1709,0.537,0.463,39.9,69,52,17,38,3,26,2,4,0.058,3,0.043,17,0.246,31,0.449,14,0.203,0.377,0.623,0.767,0.107,0.126,0.393,0.118,0.489,0.862,0.138,0.374,4973,3952,33103,29363,1612,1384,1780,17841,476,83,344,277,607,97,540,89,75,762,0.008,0.052,0.042,0.348,0.308,0.017,0.015,0.019,0.187,0.005,"5:25 PM, Monday 19 July 2021"
2021-07-18,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12:00 PM, Sunday 18 July 2021"
2021-07-17,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12:00 PM, Saturday 17 July 2021"
2021-07-16,534107,15802,518305,15981,252739,249585,236,15482,512664,8.24,float;#528146.000000000,5724,2898,2826,0.506,0.494,37,1234.69,1887.76,320,5417,1673,664,86,767,166,2049,13,9,2053,1427,626,10924,420,9,2034,10,3610,1943,1667,0.538,0.462,40.2,69,52,17,38,3,26,2,4,0.058,3,0.043,17,0.246,31,0.449,14,0.203,0.377,0.623,0.761,0.107,0.133,0.411,0.123,0.465,0.866,0.134,0.379,4893,3861,30235,28036,1543,1361,1750,16858,449,82,309,273,575,89,505,88,71,754,0.008,0.055,0.043,0.337,0.312,0.017,0.015,0.02,0.188,0.005,"4:45 PM, Friday 16 July 2021"
2021-07-15,529583,15802,513781,15813,250917,247051,314,15482,508267,8.19,float;#523749.000000000,5519,2805,2714,0.508,0.492,37,1205.94,1762.52,320,5212,1608,650,85,744,162,1951,13,9,1876,1278,598,10153,208,9,1860,7,3582,1928,1654,0.538,0.462,40.3,69,52,17,38,3,26,2,4,0.058,3,0.043,17,0.246,31,0.449,14,0.203,0.377,0.623,0.765,0.108,0.128,0.415,0.126,0.458,0.865,0.135,0.382,4854,3833,29372,27739,1530,1337,1740,16396,416,82,298,270,562,88,497,83,70,752,0.009,0.055,0.044,0.334,0.315,0.017,0.015,0.02,0.186,0.005,"4:33 PM, Thursday 15 July 2021"
2021-07-14,526046,15802,510244,15445,249820,244979,358,15482,504965,8.26,float;#520447.000000000,5240,2678,2562,0.511,0.489,38,1073.28,1567.72,320,4933,1461,639,81,723,162,1855,13,9,1731,1168,563,9805,280,9,1716,6,3448,1854,1594,0.538,0.462,40.8,69,52,17,38,3,26,2,4,0.058,3,0.043,17,0.246,31,0.449,14,0.203,0.377,0.623,0.776,0.108,0.116,0.419,0.125,0.455,0.867,0.133,0.382,4818,3811,29064,27509,1520,1316,1733,16242,411,80,291,268,554,85,496,74,69,749,0.009,0.055,0.044,0.333,0.316,0.017,0.015,0.02,0.186,0.005,"4:10 PM, Wednesday 14 July 2021"
2021-07-13,522117,15802,506315,15160,248360,242795,405,15482,501195,8.3,float;#516677.000000000,5030,2581,2449,0.513,0.487,38,982.37,1420.22,320,4723,1371,613,78,712,162,1775,13,9,1593,1062,531,9335,204,9,1579,5,3376,1817,1559,0.538,0.462,41,69,52,17,38,3,26,2,4,0.058,3,0.043,17,0.246,31,0.449,14,0.203,0.377,0.623,0.778,0.113,0.109,0.437,0.131,0.432,0.869,0.131,0.382,4742,3783,28624,27180,1512,1309,1721,16080,408,80,265,268,533,80,477,67,69,745,0.009,0.055,0.044,0.332,0.316,0.018,0.015,0.02,0.187,0.005,"6:40 PM, Tuesday 13 July 2021"
