Date,VaccinationsTotalNumberDoses,VaccinationsTotalNumberFirstDoseVaccinations,VaccinationsTotalNumberSecondDoseVaccinations,VaccinationsTotalNumberThirdDoseVaccinations,VaccinationsTotalNumberFirstDoseVaccinationsPercentage,VaccinationsTotalNumberSecondDoseVaccinationsPercentage,VaccinationsTotalNumberThirdDoseVaccinationsPercentage,VaccinationsDosesPer100PeopleInPopulation,VaccinationsTotalVaccinationDosesFirstDose80yearsandover,VaccinationsTotalVaccinationDosesFirstDose75to79years,VaccinationsTotalVaccinationDosesFirstDose70to74years,VaccinationsTotalVaccinationDosesFirstDose65to69years,VaccinationsTotalVaccinationDosesFirstDose60to64years,VaccinationsTotalVaccinationDosesFirstDose55to59years,VaccinationsTotalVaccinationDosesFirstDose50to54years,VaccinationsTotalVaccinationDosesFirstDose40to49years,VaccinationsTotalVaccinationDosesFirstDose30to39years,VaccinationsTotalVaccinationDosesFirstDose18to29years,VaccinationsTotalVaccinationDosesFirstDose17yearsandunder,VaccinationsTotalVaccinationDosesFirstDose16to17years,VaccinationsTotalVaccinationDosesFirstDose0to15years,VaccinationsTotalVaccinationDosesFirstDose12to15years,VaccinationsTotalVaccinationDosesFirstDose0to11years,VaccinationsPercentagePopulationVaccinatedFirstDose80yearsandover,VaccinationsPercentagePopulationVaccinatedFirstDose75to79years,VaccinationsPercentagePopulationVaccinatedFirstDose70to74years,VaccinationsPercentagePopulationVaccinatedFirstDose65to69years,VaccinationsPercentagePopulationVaccinatedFirstDose60to64years,VaccinationsPercentagePopulationVaccinatedFirstDose55to59years,VaccinationsPercentagePopulationVaccinatedFirstDose50to54years,VaccinationsPercentagePopulationVaccinatedFirstDose40to49years,VaccinationsPercentagePopulationVaccinatedFirstDose30to39years,VaccinationsPercentagePopulationVaccinatedFirstDose18to29years,VaccinationsPercentagePopulationVaccinatedFirstDose17yearsandunder,VaccinationsPercentagePopulationVaccinatedFirstDose16to17years,VaccinationsPercentagePopulationVaccinatedFirstDose0to15years,VaccinationsPercentagePopulationVaccinatedFirstDose12to15years,VaccinationsPercentagePopulationVaccinatedFirstDose0to11years,VaccinationsTotalVaccinationDosesSecondDose80yearsandover,VaccinationsTotalVaccinationDosesSecondDose75to79years,VaccinationsTotalVaccinationDosesSecondDose70to74years,VaccinationsTotalVaccinationDosesSecondDose65to69years,VaccinationsTotalVaccinationDosesSecondDose60to64years,VaccinationsTotalVaccinationDosesSecondDose55to59years,VaccinationsTotalVaccinationDosesSecondDose50to54years,VaccinationsTotalVaccinationDosesSecondDose40to49years,VaccinationsTotalVaccinationDosesSecondDose30to39years,VaccinationsTotalVaccinationDosesSecondDose18to29years,VaccinationsTotalVaccinationDosesSecondDose17yearsandunder,VaccinationsTotalVaccinationDosesSecondDose16to17years,VaccinationsTotalVaccinationDosesSecondDose0to15years,VaccinationsTotalVaccinationDosesSecondDose12to15years,VaccinationsTotalVaccinationDosesSecondDose0to11years,VaccinationsPercentagePopulationVaccinatedSecondDose80yearsandover,VaccinationsPercentagePopulationVaccinatedSecondDose75to79years,VaccinationsPercentagePopulationVaccinatedSecondDose70to74years,VaccinationsPercentagePopulationVaccinatedSecondDose65to69years,VaccinationsPercentagePopulationVaccinatedSecondDose60to64years,VaccinationsPercentagePopulationVaccinatedSecondDose55to59years,VaccinationsPercentagePopulationVaccinatedSecondDose50to54years,VaccinationsPercentagePopulationVaccinatedSecondDose40to49years,VaccinationsPercentagePopulationVaccinatedSecondDose30to39years,VaccinationsPercentagePopulationVaccinatedSecondDose18to29years,VaccinationsPercentagePopulationVaccinatedSecondDose17yearsandunder,VaccinationsPercentagePopulationVaccinatedSecondDose16to17years,VaccinationsPercentagePopulationVaccinatedSecondDose0to15years,VaccinationsPercentagePopulationVaccinatedSecondDose12to15years,VaccinationsPercentagePopulationVaccinatedSecondDose0to11years,VaccinationsTotalVaccinationDosesThirdDose80yearsandover,VaccinationsTotalVaccinationDosesThirdDose75to79years,VaccinationsTotalVaccinationDosesThirdDose70to74years,VaccinationsTotalVaccinationDosesThirdDose65to69years,VaccinationsTotalVaccinationDosesThirdDose60to64years,VaccinationsTotalVaccinationDosesThirdDose55to59years,VaccinationsTotalVaccinationDosesThirdDose50to54years,VaccinationsTotalVaccinationDosesThirdDose40to49years,VaccinationsTotalVaccinationDosesThirdDose30to39years,VaccinationsTotalVaccinationDosesThirdDose18to29years,VaccinationsTotalVaccinationDosesThirdDose16to17years,VaccinationsTotalVaccinationDosesThirdDose0to15years,VaccinationsPercentagePopulationVaccinatedThirdDose80yearsandover,VaccinationsPercentagePopulationVaccinatedThirdDose75to79years,VaccinationsPercentagePopulationVaccinatedThirdDose70to74years,VaccinationsPercentagePopulationVaccinatedThirdDose65to69years,VaccinationsPercentagePopulationVaccinatedThirdDose60to64years,VaccinationsPercentagePopulationVaccinatedThirdDose55to59years,VaccinationsPercentagePopulationVaccinatedThirdDose50to54years,VaccinationsPercentagePopulationVaccinatedThirdDose40to49years,VaccinationsPercentagePopulationVaccinatedThirdDose30to39years,VaccinationsPercentagePopulationVaccinatedThirdDose18to29years,VaccinationsPercentagePopulationVaccinatedThirdDose16to17years,VaccinationsPercentagePopulationVaccinatedThirdDose0to15years,EligiblePopulation,DateTime,DateTimeShort
2021-11-14,179485,79346,74906,25233,float;#0.736048237476809,float;#0.694860853432282,float;#0.234072356215213,166.5,5638,3471,4672,5189,6575,7836,7813,13363,11517,10673,,1219,1380,,,1,1,0.99,0.96,1,1,0.92,0.87,0.76,0.69,,0.53,0.29,,,5520,3438,4633,5156,6508,7754,7704,13101,11084,9909,,66,33,,,1,1,0.98,0.95,1,0.99,0.91,0.85,0.74,0.64,,0.03,0.01,,,4180,2755,3575,3627,3697,3163,1573,1456,789,398,13,7,0.83,0.85,0.76,0.67,0.57,0.4,0.19,0.09,0.05,0.03,0.01,0.01,107800,"3:10 PM, Sunday 14 November 2021",Sunday 14 Nov 2021
2021-11-10,177513,79166,74817,23530,float;#0.734378478664193,float;#0.694035250463822,float;#0.218274582560297,164.68,5633,3469,4671,5189,6575,7830,7811,13355,11504,10643,,1203,1283,,,1,1,0.99,0.96,1,1,0.92,0.87,0.76,0.69,,0.52,0.27,,,5514,3436,4632,5154,6508,7748,7700,13091,11067,9875,,66,26,,,1,1,0.98,0.95,1,0.99,0.91,0.85,0.73,0.64,,0.03,0.01,,,4111,2691,3451,3419,3295,2792,1346,1331,730,345,12,7,0.81,0.83,0.73,0.63,0.51,0.36,0.16,0.09,0.05,0.02,0.01,0.01,107800,"6:30 PM, Wednesday 10 November 2021",Wednesday 10 Nov 2021
2021-11-07,176025,79076,74737,22212,float;#0.733543599257885,float;#0.693293135435993,float;#0.206048237476809,163.3,5624,3464,4670,5178,6572,7816,7815,13352,11494,10628,,1196,1266,,,1,1,0.99,0.95,1,1,0.92,0.87,0.76,0.69,,0.52,0.27,,,5505,3431,4629,5144,6507,7733,7705,13086,11056,9855,,65,21,,,1,1,0.98,0.95,1,0.99,0.91,0.85,0.73,0.64,,0.03,0,,,4061,2624,3323,3248,2828,2597,1238,1255,693,326,12,7,0.8,0.81,0.7,0.6,0.43,0.33,0.15,0.08,0.05,0.02,0,0,107800,"4:35 PM, Sunday 7 November 2021",Sunday 7 Nov 2021
2021-11-03,174137,78978,74681,20478,float;#0.732634508348794,float;#0.692773654916512,float;#0.189962894248609,161.54,5621,3460,4672,5176,6569,7810,7820,13340,11496,10614,,1192,1207,,,1,1,0.99,0.95,1,1,0.92,0.87,0.76,0.69,,0.52,0.26,,,5503,3427,4631,5142,6504,7728,7708,13071,11047,9836,,65,19,,,1,1,0.98,0.95,1,0.99,0.91,0.85,0.73,0.64,,0.03,0,,,3958,2525,3097,2992,2374,2336,1123,1128,625,300,13,7,0.78,0.78,0.66,0.55,0.37,0.3,0.13,0.07,0.04,0.02,0.01,0,107800,"4:00 PM, Wednesday 3 November 2021",Wednesday 3 Nov 2021
2021-10-31,172720,78947,74651,19122,float;#0.732346938775510,float;#0.692495361781076,float;#0.177384044526902,160.3,5606,3457,4665,5174,6562,7811,7819,13335,11503,10600,,1206,1208,,,1,1,0.99,0.95,1,1,0.92,0.87,0.76,0.69,,0.52,0.26,,,5488,3424,4624,5140,6497,7728,7708,13064,11054,9836,,69,0,,,1,1,0.98,0.95,1,0.99,0.91,0.85,0.73,0.64,,0.03,0,,,3854,2429,2903,2783,2131,2117,1023,1042,571,257,9,0,0.76,0.75,0.61,0.51,0.33,0.27,0.12,0.07,0.04,0.02,0.01,0,107800,"12:00 AM, Sunday 31 October 2021",Sunday 31 Oct 2021
2021-10-27,170775,78809,74589,17377,float;#0.731066790352505,float;#0.691920222634508,float;#0.161196660482375,158.42,5602,3456,4665,5171,6560,7808,7818,13329,11491,10586,,1189,1133,,,1,1,0.99,0.95,1,1,0.92,0.87,0.76,0.69,,0.51,0.24,,,5485,3422,4623,5137,6496,7728,7705,13058,11052,9806,,67,0,,,1,1,0.98,0.95,1,0.99,0.91,0.85,0.73,0.64,,0.03,0,,,3689,2280,2649,2514,1867,1791,913,936,503,225,8,0,0.73,0.7,0.56,0.46,0.29,0.23,0.11,0.06,0.03,0.01,0.01,0,107800,"12:00 AM, Wednesday 27 October 2021",Wednesday 27 Oct 2021
2021-10-24,169124,78701,74525,15898,float;#0.730064935064935,float;#0.691326530612245,float;#0.147476808905380,156.89,5592,3450,4672,5159,6553,7809,7812,13332,11481,10576,,1178,1086,,,1,1,0.99,0.95,1,1,0.92,0.87,0.76,0.69,,0.51,0.23,,,5476,3415,4630,5122,6488,7728,7699,13061,11044,9795,,64,,,,1,1,0.98,0.94,1,0.99,0.91,0.85,0.73,0.64,,0.03,,,,3566,2184,2467,2233,1664,1500,810,831,445,189,7,,0.71,0.67,0.52,0.41,0.26,0.19,0.1,0.05,0.03,0.01,0.01,,107800,"10:00 AM, Sunday 24 October 2021",Sunday 24 Oct 2021
2021-10-20,166909,78537,74457,13915,float;#0.728543599257885,float;#0.690695732838590,float;#0.129081632653061,154.84,5590,3448,4668,5160,6545,7820,7805,13320,11475,10553,,1160,992,,,1,1,0.99,0.95,1,1,0.92,0.87,0.76,0.69,,0.5,0.21,,,5473,3413,4626,5122,6480,7738,7691,13043,11032,9771,,65,0,,,1,1,0.98,0.94,1,0.99,0.91,0.85,0.73,0.63,,0.03,0,,,3374,2029,2192,1862,1400,1105,699,720,372,156,5,0,0.67,0.62,0.46,0.34,0.22,0.14,0.08,0.05,0.02,0.01,0,0,107800,"12:00 AM, Wednesday 20 October 2021",Wednesday 20 Oct 2021
2021-10-17,165076,78415,74390,12271,float;#0.727411873840445,float;#0.690074211502783,float;#0.113831168831169,153.14,5582,3435,4672,5158,6542,7819,7802,13309,11473,10525,,1164,933,,,1,1,0.99,0.95,1,1,0.92,0.87,0.76,0.68,,0.5,0.2,,,5465,3400,4629,5120,6478,7736,7689,13030,11029,9748,,64,0,,,1,1,0.98,0.94,1,0.99,0.91,0.85,0.73,0.63,,0.03,0,,,3159,1870,1945,1356,1207,987,628,643,337,134,4,0,0.63,0.57,0.41,0.25,0.19,0.13,0.07,0.04,0.02,0.01,0,0,107800,"12:00 AM, Sunday 17 October 2021",Sunday 17 Oct 2021
2021-10-13,162928,78261,74327,10340,float;#0.725983302411874,float;#0.689489795918367,float;#0.0959183673469388,151.14,5577,3434,4668,5155,6546,7814,7799,13299,11470,10507,,1156,835,,,1,1,0.99,0.95,1,1,0.92,0.86,0.76,0.68,,0.5,0.18,,,5449,3398,4625,5117,6481,7731,7682,13018,11025,9725,,64,0,,,1,1,0.98,0.94,1,0.99,0.9,0.85,0.73,0.63,,0.03,0,,,2962,1653,1693,701,963,851,540,572,281,119,4,0,0.59,0.51,0.36,0.13,0.15,0.11,0.06,0.04,0.02,0.01,0,0,107800,"12:00 AM, Wednesday 13 October 2021",Wednesday 13 Oct 2021
