Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-01-16 05:30:49,32.3182,-86.9023,417528,6030,221961,189537,1,8515.44455287737,2012213,,1.44421451974478,84000001,USA,41038.8961460765,
Alaska,US,2021-01-16 05:30:49,61.3707,-152.4044,51466,229,7165,44072,2,7035.24731903027,1389226,,0.444953950180702,84000002,USA,189903.013485158,
American Samoa,US,2021-01-16 05:30:49,-14.271,-170.132,0,0,,0,60,0,2140,,,16,ASM,3846.08472169803,
Arizona,US,2021-01-16 05:30:49,33.7298,-111.4312,658186,11040,89665,557481,4,9042.61011933834,3173905,,1.67733740918221,84000004,USA,43605.2809856462,
Arkansas,US,2021-01-16 05:30:49,34.9697,-92.3731,267635,4263,237729,25643,5,8868.534868401,2248612,,1.59284099613279,84000005,USA,74511.532226745,
California,US,2021-01-16 05:30:49,36.1162,-119.6816,2916309,32851,,2883458,6,7380.77682948894,37449536,,1.12645813595199,84000006,USA,94779.6230042536,
Colorado,US,2021-01-16 05:30:49,39.0598,-105.3111,371458,5343,19665,346450,8,6450.33910219187,4937103,,1.43838603556795,84000008,USA,85732.40725048,
Connecticut,US,2021-01-16 05:30:49,41.5978,-72.7554,223422,6594,9800,207028,9,6266.59228275311,4880936,,2.95136557724844,84000009,USA,136901.629518185,
Delaware,US,2021-01-16 05:30:49,39.3185,-75.5071,68727,1002,18851,48874,10,7057.8702847918,1101490,,1.4579422934218,84000010,USA,113116.730542513,
Diamond Princess,US,2021-01-16 05:30:49,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,2021-01-16 05:30:49,38.8974,-77.0268,33140,842,23131,9167,11,4695.72043318517,986795,,2.54073627036814,84000011,USA,139822.373109987,
Florida,US,2021-01-16 05:30:49,27.7663,-81.6868,1548067,23799,,1524268,12,7207.77519531038,17424558,,1.53733656230641,84000012,USA,81128.4633944442,
Georgia,US,2021-01-16 05:30:49,33.0406,-83.6431,801130,12138,,788992,13,7545.42792540148,5844021,,1.515109907256,84000013,USA,55041.8025164863,
Grand Princess,US,2021-01-16 05:30:49,,,103,3,,100,99999,,,,2.9126213592233,84099999,USA,,
Guam,US,2021-01-16 05:30:49,13.4443,144.7937,7474,125,7220,129,66,4550.96237570709,100467,,1.67246454375167,316,GUM,61174.9447417935,
Hawaii,US,2021-01-16 05:30:49,21.0943,-157.4983,24318,317,11958,12043,15,1717.52813813678,894688,,1.30356114812073,84000015,USA,63189.892871672,
Idaho,US,2021-01-16 05:30:49,44.2405,-114.4788,154470,1603,69460,83407,16,8643.78184341364,571813,,1.03774195636693,84000016,USA,31997.3252232012,
Illinois,US,2021-01-16 05:30:49,40.3495,-88.9861,1059324,19873,,1039451,17,8359.682479732,14564776,,1.87600771812968,84000017,USA,114938.302869019,
Indiana,US,2021-01-16 05:30:49,39.8494,-86.2583,583160,9246,374379,199535,18,8662.22563466815,6328023,,1.58549969133685,84000018,USA,93996.0954924372,
Iowa,US,2021-01-16 05:30:49,42.0115,-93.2105,303926,4257,263844,35825,19,9632.93999816169,1212121,,1.40066989990985,84000019,USA,38418.1967436539,
Kansas,US,2021-01-16 05:30:49,38.5266,-96.7265,258354,3489,5138,249727,20,8868.04511975022,1100365,,1.3504726073527,84000020,USA,37770.21632409,
Kentucky,US,2021-01-16 05:30:49,37.6681,-84.6701,321269,3061,40100,278108,21,7190.96943755732,3392110,,0.952784115492002,84000021,USA,75925.6552572223,
Louisiana,US,2021-01-16 05:30:49,31.1695,-91.8678,364853,8080,298614,58159,22,7848.33657933649,4593428,,2.2145905337218,84000022,USA,98809.0244480612,
Maine,US,2021-01-16 05:30:49,44.6939,-69.3819,32781,477,11876,20428,23,2438.67782760457,1238547,,1.45511119245905,84000023,USA,92139.2607713664,
Maryland,US,2021-01-16 05:30:49,39.0639,-76.8021,320739,6494,9444,304801,24,5305.25929258578,6352475,,2.0246992102613,84000024,USA,105074.615262468,
Massachusetts,US,2021-01-16 05:30:49,42.2302,-71.5301,459927,13509,324203,122215,25,6672.85890191125,12147366,,2.93720525213784,84000025,USA,176240.271494985,
Michigan,US,2021-01-16 05:30:49,43.3266,-84.5361,579574,14550,415079,149945,26,5803.36736572878,8757257,,2.51046458260723,84000026,USA,87687.818099328,
Minnesota,US,2021-01-16 05:30:49,45.6945,-93.9002,443562,5918,422289,15355,27,7865.08765110915,5808350,,1.33419905221818,84000027,USA,102991.649100509,
Mississippi,US,2021-01-16 05:30:49,32.7416,-89.6787,248189,5411,198888,43890,28,8339.26661601956,1471115,,2.18019332041307,84000028,USA,49430.1528586102,
Missouri,US,2021-01-16 05:30:49,38.4561,-92.2884,445827,6436,,439391,29,7264.06892268227,3903116,,1.44360929239369,84000029,USA,63595.3040915511,
Montana,US,2021-01-16 05:30:49,46.9219,-110.4544,88635,1086,82460,5089,30,8293.11606339202,869564,,1.22524961922491,84000030,USA,81360.5818982052,
Nebraska,US,2021-01-16 05:30:49,41.1254,-98.2681,180910,1837,124233,54840,31,9352.2152513844,1894614,,1.01542203305511,84000031,USA,97942.8331561904,
Nevada,US,2021-01-16 05:30:49,38.3135,-117.0554,258050,3698,,254352,32,8377.82242198122,2304127,,1.43305560937803,84000032,USA,74805.5293303326,
New Hampshire,US,2021-01-16 05:30:49,43.4525,-71.5639,55550,908,48018,6624,33,4085.42697676197,1130805,,1.63456345634563,84000033,USA,83165.0990541372,
New Jersey,US,2021-01-16 05:30:49,40.2989,-74.521,616032,20320,61718,533994,34,6935.58683162598,8676802,,3.29852994649629,84000034,USA,97687.6423494656,
New Mexico,US,2021-01-16 05:30:49,34.8405,-106.2485,161805,2874,84015,74916,35,7716.65214473856,2127494,,1.77621210716603,84000035,USA,101462.446389286,
New York,US,2021-01-16 05:30:49,42.1657,-74.9481,1212922,40637,113919,1058366,36,6234.96130091555,28455705,,3.35033909847459,84000036,USA,146275.044450731,
North Carolina,US,2021-01-16 05:30:49,35.6301,-79.8064,659840,7933,521475,130432,37,6291.33023724829,7937712,,1.2022611542192,84000037,USA,75683.1467024864,
North Dakota,US,2021-01-16 05:30:49,47.5289,-99.784,95599,1395,92551,1653,38,12544.7798210644,1298741,,1.45922028473101,84000038,USA,170424.584876296,
Northern Mariana Islands,US,2021-01-16 05:30:49,15.0979,145.6739,128,2,29,97,69,232.119541563905,17557,,1.5625,580,MNP,31838.4593065429,
Ohio,US,2021-01-16 05:30:49,40.3888,-82.7649,814442,10057,669448,134937,39,6967.53385632769,8368521,,1.23483317412412,84000039,USA,71592.5178157429,
Oklahoma,US,2021-01-16 05:30:49,35.5653,-96.9289,348044,2925,306874,38245,40,8795.71773460053,2937452,,0.840410982519452,84000040,USA,74234.8629797893,
Oregon,US,2021-01-16 05:30:49,44.572,-122.0709,131258,1758,5870,123630,41,3112.04800109632,2895680,,1.33934693504396,84000041,USA,68654.8260358576,
Pennsylvania,US,2021-01-16 05:30:49,40.5908,-77.2098,759243,18935,573504,166804,42,5930.66436785721,4195105,,2.49393145541019,84000042,USA,32769.1657913469,
Puerto Rico,US,2021-01-16 05:30:49,18.2208,-66.5901,85954,1692,73760,10502,72,2691.36617346559,391926,,1.96849477627568,630,PRI,12271.8707553072,
Rhode Island,US,2021-01-16 05:30:49,41.6809,-71.5118,104443,2005,6229,96209,44,9859.05654446407,2242295,,1.91970740020873,84000044,USA,211664.862119712,
South Carolina,US,2021-01-16 05:30:49,33.8569,-80.945,375967,6037,171539,198391,45,7302.15350862371,3609752,,1.60572603446579,84000045,USA,70109.7788690535,
South Dakota,US,2021-01-16 05:30:49,44.2998,-99.4388,104937,1629,98576,4732,46,11861.8586370568,389508,,1.55235998742102,84000046,USA,44029.1683010064,
Tennessee,US,2021-01-16 05:30:49,35.7478,-86.6923,676039,8311,602938,64790,47,9899.27918076183,6067669,,1.22936694480644,84000047,USA,88849.2371112524,
Texas,US,2021-01-16 05:30:49,31.0545,-97.5635,2069286,31693,1649735,387858,48,7136.48259213093,15443899,,1.53159108987351,84000048,USA,53262.3892338364,
Utah,US,2021-01-16 05:30:49,40.15,-111.8624,320102,1472,263256,55374,49,9984.59742766437,2436305,,0.459853421721826,84000049,USA,75993.0417054746,
